response_time,event_start_ms,event_start_epoc,year,month,day
15.87377166748047,13,1526091557,2018,5,12
700.77001953125,496,1526091557,2018,5,12
19.69631958007812,655,1526091559,2018,5,12
15.16000556945801,799,1526091561,2018,5,12
16.58845710754395,278,1526091562,2018,5,12
216.7015380859375,396,1528402939,2018,6,7
136.7088775634766,236,1528402940,2018,6,7
25.92618370056152,695,1528402943,2018,6,7
825.6847534179688,503,1528402940,2018,6,7
17.01059150695801,959,1528402940,2018,6,7
136.36845397949222,65,1528402941,2018,6,7
348.3372497558594,77,1528402941,2018,6,7
365.2620544433594,106,1528402941,2018,6,7
21.75380897521973,147,1528402941,2018,6,7
14.218358993530268,172,1528402941,2018,6,7
20.871173858642575,431,1528402944,2018,6,7
17.22401809692383,602,1528402941,2018,6,7
31.78853416442871,195,1528402942,2018,6,7
14.44004154205322,413,1528402942,2018,6,7
384.0588073730469,922,1528402942,2018,6,7
711.111083984375,599,1528402944,2018,6,7
937.3890380859376,109,1528402945,2018,6,7
15.02273654937744,168,1528402946,2018,6,7
16.63555717468262,186,1528402946,2018,6,7
27.81816673278809,513,1528402946,2018,6,7
25.56853675842285,531,1528402946,2018,6,7
142.5792694091797,630,1528402946,2018,6,7
1006.2207641601559,922,1528402947,2018,6,7
660.115966796875,364,1528402948,2018,6,7
219.1256256103516,135,1528402949,2018,6,7
41.21765518188477,693,1528402950,2018,6,7
16.18965721130371,787,1528402950,2018,6,7
584.8816528320312,803,1528402951,2018,6,7
258.0088500976562,512,1528402951,2018,6,7
754.1162109375,977,1528402953,2018,6,7
12.14229297637939,912,1528402951,2018,6,7
247.5216522216797,412,1528402954,2018,6,7
13.16982364654541,21,1528402955,2018,6,7
646.3202514648438,840,1528402952,2018,6,7
25.79601669311523,524,1528402953,2018,6,7
205.8033142089844,635,1528402953,2018,6,7
765.573974609375,785,1528402956,2018,6,7
829.5204467773438,817,1528402954,2018,6,7
664.6153529882431,999,1550000841,2019,2,12
11.21995097398758,19,1550000842,2019,2,12
9.397488951683043,613,1550000841,2019,2,12
18.399052977561947,511,1550000841,2019,2,12
10.62508702278137,426,1550000841,2019,2,12
9.827423989772797,317,1550000841,2019,2,12
9.22505795955658,919,1550000841,2019,2,12
9.25800198316574,906,1550000840,2019,2,12
10.726835966110231,702,1550000841,2019,2,12
9.868357002735136,751,1550000840,2019,2,12
9.296128034591677,585,1550000841,2019,2,12
11.007757008075712,371,1550000840,2019,2,12
10.70277500152588,150,1550000840,2019,2,12
17.00530099868774,404,1550000841,2019,2,12
11.136132001876831,318,1550000841,2019,2,12
10.71636897325516,605,1550000839,2019,2,12
18.33945500850677,537,1550000839,2019,2,12
10.897558033466339,530,1550000839,2019,2,12
9.391773998737337,882,1550000840,2019,2,12
10.144890964031221,872,1550000840,2019,2,12
254.61072498559952,314,1550000839,2019,2,12
23.34066796302795,464,1550000840,2019,2,12
586.0390669703484,943,1550000838,2019,2,12
9.726369976997377,934,1550000838,2019,2,12
10.861268997192381,176,1550000840,2019,2,12
13.13915902376175,966,1550000839,2019,2,12
177.64179801940918,365,1550000839,2019,2,12
